game_id,turns,w_ctrld_pawn,w_ctrld_knight,w_ctrld_bishop,w_ctrld_rook,w_ctrld_queen,w_ctrld_king,w_preassure_points,w_ctrld_diagonals,w_ctrld_lines,b_ctrld_pawn,b_ctrld_knight,b_ctrld_bishop,b_ctrld_rook,b_ctrld_queen,b_ctrld_king,b_preassure_points,b_ctrld_diagonals,b_ctrld_lines,rated_cod,winner_cod,current_turn_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,opening_shortname_cod,opening_variation_cod,moves_fen_cod
17503,50,7,0,8,9,0,3,3,2,3,9,11,0,7,0,5,5,0,1,1,0,1,179,338,587,58,608,16582
17504,46,10,6,8,7,0,4,5,2,2,11,3,8,5,6,1,10,2,4,1,0,1,19,343,603,58,374,14338
17505,45,12,0,6,6,5,3,5,2,1,9,14,0,24,11,4,16,1,8,1,0,0,117,80,108,17,608,2593
17506,37,12,6,7,19,0,6,14,2,3,9,3,7,4,0,2,1,3,2,1,1,0,293,237,964,94,539,17141
17507,19,11,14,5,3,5,1,8,2,0,11,6,11,3,7,2,10,3,4,1,1,0,102,195,1391,116,608,12832
17508,55,4,0,0,14,20,0,6,2,6,2,0,1,0,0,1,12,8,6,1,1,0,102,303,444,50,171,2941
17509,71,8,6,0,5,10,4,5,1,4,9,0,0,0,2,0,10,1,8,1,1,0,306,77,179,25,608,2629
17510,64,12,0,0,11,10,4,8,1,5,10,0,0,19,14,3,12,1,8,1,0,1,307,230,1039,102,139,6039
17511,36,9,7,8,12,12,2,10,4,6,10,0,0,4,8,2,7,1,2,1,1,1,102,217,1060,102,180,13855
17512,10,12,8,9,2,7,4,12,2,2,7,8,6,1,2,2,11,1,0,1,1,1,102,41,439,50,608,16727
17514,65,6,0,5,16,0,5,4,1,5,6,0,0,0,0,0,5,0,2,1,1,0,102,116,1172,109,608,3072
17515,42,7,7,7,9,0,2,6,2,2,11,0,6,9,0,6,7,1,3,1,1,1,102,100,1303,109,389,5833
17516,42,7,0,14,12,12,2,10,9,4,8,6,14,8,15,0,14,9,4,1,0,1,37,235,946,94,0,15159
17517,57,8,6,9,8,17,2,10,5,3,6,0,0,13,14,1,7,1,3,1,1,0,104,190,773,83,1,3535
17520,140,0,0,0,14,0,4,0,0,3,5,0,9,0,0,6,3,2,0,1,0,1,102,90,1270,109,356,10282
17521,61,10,0,7,15,12,1,9,4,5,6,1,0,1,0,0,4,2,3,1,1,0,102,254,837,90,608,14395
17522,78,4,0,0,2,0,0,6,0,5,8,0,7,22,0,4,8,2,7,1,0,1,102,316,721,72,557,1482
17523,37,11,0,5,13,14,3,14,4,6,10,0,0,0,0,0,7,2,5,1,1,0,21,151,348,38,280,3988
17524,79,7,0,8,10,16,3,7,5,5,5,0,0,10,22,0,5,4,7,1,1,0,19,60,188,29,608,4204
17525,80,2,6,0,0,0,3,2,0,0,11,0,0,10,0,4,2,0,2,1,0,1,186,62,204,29,525,6528
17526,9,10,6,5,0,18,3,13,3,3,11,0,0,0,0,0,4,1,0,1,1,0,355,60,193,29,232,17809
17527,31,12,7,16,5,11,2,15,9,4,11,5,14,8,0,2,9,3,2,1,1,0,355,199,401,40,608,15934
17528,53,10,5,4,9,12,3,6,2,5,7,0,0,0,0,0,7,3,3,0,1,0,31,50,759,78,569,602
17529,62,5,0,0,0,0,0,0,0,0,8,0,9,0,15,2,5,3,2,1,0,1,19,151,348,38,280,7045
17530,52,10,6,0,11,17,3,11,2,7,7,0,0,18,0,2,3,0,4,1,1,1,306,170,647,61,360,2842
17531,61,6,3,0,20,0,3,4,0,5,9,6,0,0,0,1,2,0,0,1,1,0,306,80,108,17,608,3147
17532,84,0,0,0,0,0,5,0,0,0,3,0,0,14,0,3,2,0,3,1,0,1,19,347,621,58,492,9526
17533,81,4,4,0,27,0,1,4,0,8,1,0,0,0,0,0,4,5,3,1,1,0,284,81,108,17,608,9728
17534,25,12,3,15,4,6,4,8,5,3,11,4,6,5,7,3,10,5,2,1,1,0,257,241,928,90,320,14918
17535,55,8,8,0,13,0,3,2,0,2,6,0,0,0,3,0,1,2,3,1,1,0,257,70,134,17,231,11860
17536,42,9,0,0,7,0,4,4,0,1,9,0,0,7,17,5,11,2,2,1,0,1,104,301,421,44,557,16610
17537,67,7,5,0,13,13,4,11,1,5,9,0,0,0,0,0,6,0,4,1,1,0,21,2,59,9,608,15232
17538,117,5,0,0,0,0,7,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,108,80,108,17,608,10798
17539,56,5,0,7,0,0,5,0,2,0,11,0,7,0,0,2,2,2,0,1,0,1,102,309,942,92,258,7101
17540,58,7,8,5,4,0,3,4,1,1,6,0,0,12,0,4,6,0,4,1,1,1,102,83,131,17,180,7257
17541,23,7,9,5,3,13,0,8,4,3,10,0,0,0,0,3,16,3,4,1,1,0,103,254,837,90,608,12401
17542,98,3,0,0,12,0,5,4,0,4,5,0,10,9,0,5,5,3,2,1,0,1,21,244,1354,110,0,9083
17543,48,8,0,0,0,0,0,10,4,3,11,5,0,10,15,2,10,4,6,1,0,1,117,82,114,17,18,2351
17544,94,2,0,0,0,0,0,4,2,5,8,4,0,15,20,4,11,2,6,1,0,1,21,49,756,78,608,7878
17545,49,6,7,0,7,16,1,6,2,5,7,7,5,8,19,2,14,5,5,1,0,0,19,260,860,90,608,5726
17546,83,2,0,0,4,39,7,11,8,8,6,0,0,0,16,3,3,1,2,1,1,0,19,80,108,17,608,10668
17547,36,7,0,1,0,1,4,5,2,2,9,5,1,3,18,4,11,3,4,1,0,1,344,260,860,90,608,12275
17548,58,4,0,11,0,14,4,4,5,2,9,5,0,8,14,3,7,4,3,1,0,1,104,270,1155,108,608,6704
17549,77,6,0,0,13,22,1,7,2,6,5,0,0,0,0,0,1,1,2,1,1,0,355,83,131,17,180,368
17550,39,8,7,7,13,12,1,13,4,4,8,8,8,8,15,1,11,6,6,1,0,0,355,321,700,72,137,15883
17551,101,2,0,0,0,13,1,3,1,2,0,0,0,1,0,5,8,1,5,1,1,0,355,85,155,17,609,104
17552,111,2,6,0,12,20,7,9,1,4,2,0,0,0,0,0,0,0,0,1,1,0,169,83,131,17,180,124
17553,52,9,0,7,8,0,2,6,2,2,10,5,5,12,14,1,12,2,5,1,0,1,29,36,674,70,608,5666
17554,30,11,7,5,14,0,3,12,2,3,9,7,11,9,0,4,9,4,3,0,0,1,104,151,347,38,275,3839
17555,16,9,0,1,0,0,3,14,4,2,9,10,5,1,16,2,12,3,2,1,0,1,37,90,1270,109,356,17383
17556,32,10,5,0,4,10,2,6,1,2,9,0,17,4,9,3,9,7,4,1,0,1,288,3,59,9,608,14189
17557,95,4,0,0,0,0,1,0,0,0,5,0,6,15,0,3,8,2,4,1,1,0,19,122,1268,109,350,13638
17558,37,7,7,9,6,12,1,9,3,4,11,6,9,15,18,2,16,5,7,1,0,0,19,96,1297,109,379,2815
17559,74,8,0,14,0,0,3,2,7,0,7,4,0,12,0,1,5,0,2,1,0,1,293,107,1309,109,406,5508
17560,54,4,0,9,12,0,3,4,2,3,8,0,9,13,0,2,4,2,4,1,0,1,244,143,1284,109,358,4736
17561,58,8,6,2,0,0,3,2,1,0,6,7,10,9,0,1,6,4,3,1,0,1,244,122,1268,109,350,7253
17562,80,6,7,0,0,0,3,4,0,0,11,3,0,0,0,4,2,0,0,1,0,1,244,193,1128,106,608,8272
17563,53,9,4,0,6,0,2,3,0,1,10,0,7,12,0,3,6,3,3,1,0,0,244,116,1172,109,608,6501
17564,44,7,0,0,0,0,0,8,1,5,8,4,18,10,14,3,17,8,5,1,0,1,244,45,206,30,608,3618
17565,71,7,0,0,24,0,3,3,0,6,7,0,0,0,0,0,6,4,3,1,1,0,244,143,1276,109,359,5313
17566,64,8,0,0,0,0,0,5,3,2,8,0,9,0,11,2,5,2,2,1,0,1,244,116,1172,109,608,8051
17567,47,8,8,0,8,18,2,11,2,5,5,0,0,0,0,2,5,1,6,1,1,0,244,190,778,83,181,5290
17568,74,3,0,0,0,0,0,2,0,3,5,0,8,2,13,4,6,3,1,1,0,1,244,119,1192,109,128,8178
17569,33,8,8,5,17,8,2,14,3,5,8,0,0,0,0,0,9,4,4,1,1,0,244,71,1119,104,335,17505
17570,34,10,0,6,19,15,2,15,3,6,9,0,9,3,10,2,6,5,1,1,1,1,244,89,1186,109,99,13157
17571,53,9,0,0,7,13,1,1,2,4,5,0,0,0,0,1,0,0,0,1,1,0,244,193,1138,106,306,4250
17572,13,11,6,8,4,15,3,12,5,4,11,0,0,0,0,0,8,1,2,1,1,0,244,190,773,83,1,14321
17573,61,2,0,0,14,0,7,4,0,3,9,0,0,20,0,2,6,0,4,1,0,0,244,133,1214,109,165,4927
17574,40,8,0,0,0,0,0,11,3,5,5,6,0,18,15,3,15,1,6,1,0,1,244,116,1172,109,608,2106
17575,8,10,9,7,3,4,1,10,2,3,10,7,2,4,0,2,10,0,2,1,1,1,244,41,439,50,608,17737
17576,36,7,7,3,8,15,1,11,3,4,8,6,7,1,14,2,7,4,3,1,1,1,244,77,982,96,61,11569
17577,16,8,3,14,2,19,3,11,7,5,9,14,0,4,7,0,10,2,1,1,0,1,244,100,1260,109,305,13305
17578,50,11,0,0,7,13,3,8,2,4,13,8,0,9,9,5,15,1,3,1,0,1,244,338,456,50,588,16652
17579,59,11,8,0,10,13,3,13,3,5,11,0,0,1,0,3,18,3,8,1,1,0,244,116,1172,109,608,3869
17580,41,10,5,10,9,18,3,16,3,4,5,0,0,0,0,0,4,4,3,1,1,0,244,189,645,61,328,17507
17581,55,8,0,0,10,0,2,0,0,4,7,0,5,0,0,5,1,1,0,1,1,0,244,116,1202,109,155,5646
17582,22,9,6,1,2,18,2,12,2,3,11,10,8,4,3,2,8,2,3,1,0,1,244,89,1346,109,526,14184
17583,45,8,6,15,16,17,2,18,7,6,6,0,0,0,0,0,13,7,2,1,1,0,244,193,1128,106,608,801
17584,36,11,11,12,6,3,1,10,4,2,11,8,11,4,3,0,11,2,3,1,1,1,244,70,748,74,468,2194
17585,54,7,0,0,12,0,3,2,0,3,11,0,3,4,0,4,3,1,1,1,0,1,104,98,1290,109,378,3977
17586,63,5,0,10,21,0,1,5,3,5,3,0,1,1,0,0,3,1,4,1,1,0,19,76,674,70,608,240
17587,30,6,6,10,2,0,2,4,4,1,9,9,11,8,11,1,10,6,5,1,0,1,19,36,429,48,608,15820
17588,54,9,0,9,0,6,1,4,3,0,10,4,3,0,14,4,7,2,3,1,0,1,19,44,666,66,608,7280
